City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,wynyard,-41.0,145.7167,10.36,83,76,6.81,AU,1689650324
186,kruisfontein,-34.0033,24.7314,9.38,82,4,2.49,ZA,1689650324
187,al jawf,29.5,38.75,25.53,33,0,3.39,SA,1689650324
188,kidal,18.4411,1.4078,32.48,29,94,2.89,ML,1689650324
189,isola di capo rizzuto,38.96,17.0933,27.57,54,0,1.71,IT,1689650324
190,saint-paul,-21.0096,55.2707,21.11,97,25,0.45,RE,1689650325
191,port lincoln,-34.7333,135.8667,14.43,57,68,4.7,AU,1689650302
192,paita,-5.0892,-81.1144,22.01,80,0,6.4,PE,1689650325
193,riverton,40.5219,-111.9391,31.28,28,0,2.68,US,1689650325
194,poquoson,37.1224,-76.3458,27.78,93,0,0.0,US,1689650325
195,siem reap,13.5,104.0,30.86,66,100,5.56,KH,1689650325
196,abilene,32.4487,-99.7331,33.43,31,0,3.09,US,1689650106
197,okha,53.5739,142.9478,20.88,62,100,5.48,RU,1689650325
198,san antonio de pale,-1.4014,5.6325,23.06,82,92,4.23,GQ,1689650326
199,isangel,-19.55,169.2667,26.06,69,75,3.6,VU,1689650326
200,yeniseysk,58.4497,92.1703,20.86,48,2,0.62,RU,1689650326
201,lijiang,26.8688,100.2207,22.98,49,21,1.19,CN,1689650326
202,gadzhiyevo,69.2551,33.3362,15.2,83,100,4.57,RU,1689650326
203,xinyuan,37.3,99.0,14.25,48,71,0.74,CN,1689650326
204,bowie,33.4501,-94.4335,29.04,89,12,2.16,US,1689650327
205,nyurba,63.2842,118.3319,12.49,98,100,3.83,RU,1689650327
206,berea,41.3662,-81.8543,21.99,77,75,3.09,US,1689649729
207,madalena,41.2162,-8.3345,17.48,94,0,0.76,PT,1689650327
208,cockburn town,21.4612,-71.1419,28.57,85,10,9.95,TC,1689650327
209,boali,4.8005,18.1275,22.37,91,22,0.81,CF,1689650327
210,argo,37.6333,22.7333,27.1,47,0,2.16,GR,1689650327
211,flying fish cove,-10.4217,105.6791,26.82,73,40,6.69,CX,1689650327
212,iquique,-20.2208,-70.1431,18.02,75,16,2.06,CL,1689650038
213,nueva gerona,21.8833,-82.8,29.0,72,39,1.57,CU,1689650328
214,broken hill,-31.95,141.4333,14.63,35,40,5.0,AU,1689650328
215,le lavandou,43.137,6.366,25.9,81,0,0.51,FR,1689650328
216,atafu village,-8.5421,-172.5159,28.54,77,98,4.9,TK,1689650328
217,alingsas,57.9303,12.5335,13.84,81,56,5.84,SE,1689650349
218,bereket,39.2446,55.5154,24.67,49,0,2.85,TM,1689650349
219,monteagudo,-19.8167,-63.9833,12.23,75,100,0.61,BO,1689650350
220,mabamba,-3.5983,30.5019,14.8,59,3,0.63,TZ,1689650350
221,paty do alferes,-22.4286,-43.4186,18.1,96,31,0.19,BR,1689650350
222,mhamid,29.82,-5.72,33.17,30,99,1.65,MA,1689650350
223,ocean city,39.2776,-74.5746,26.12,91,52,1.34,US,1689650350
224,tarawa,1.419,172.984,28.69,76,67,3.86,KI,1689650350
225,quang ngai,15.1167,108.8,29.52,68,100,2.18,VN,1689650350
226,dwarka,22.2394,68.9678,28.07,79,100,7.35,IN,1689650351
227,rawson,-43.3002,-65.1023,3.28,55,1,4.53,AR,1689650351
228,taulaga,-11.0553,-171.0883,28.09,75,7,2.61,AS,1689650351
229,tual,-5.6667,132.75,26.53,79,46,7.76,ID,1689650351
230,guanare,9.0418,-69.7421,22.7,96,100,1.1,VE,1689650351
231,sao joao da barra,-21.6403,-41.0511,19.72,94,22,3.59,BR,1689650060
232,manfalut,27.3104,30.97,29.49,32,0,3.21,EG,1689650351
233,sand springs,36.1398,-96.1089,28.84,83,0,2.57,US,1689650098
234,humaita,-7.5061,-63.0208,26.68,61,94,0.74,BR,1689650352
235,acapulco de juarez,16.8634,-99.8901,27.9,78,40,2.06,MX,1689650352
236,alaghsas,17.0187,8.0168,32.91,10,6,3.0,NE,1689650352
237,iskateley,67.6803,53.1512,19.46,64,93,4.87,RU,1689650352
238,northam,51.0333,-4.2167,13.67,91,99,3.03,GB,1689650352
239,kavieng,-2.5744,150.7967,28.83,71,81,1.2,PG,1689650353
240,santa ana,33.7456,-117.8678,30.78,73,0,3.6,US,1689649677
241,papao,-17.75,-149.55,26.82,72,0,4.13,PF,1689650353
242,constantia,44.1833,28.65,20.38,65,0,3.48,RO,1689650353
243,hermanus,-34.4187,19.2345,13.22,90,2,3.32,ZA,1689650353
244,bo phloi,14.3236,99.5161,25.65,78,100,6.09,TH,1689650353
245,amos,48.5669,-78.1162,13.47,82,39,1.52,CA,1689650104
246,lautoka,-17.6167,177.4667,25.92,65,75,5.66,FJ,1689650354
